,gtzan_100,gtzan_400,urbansound8k_100,urbansound8k_400,fsdnoisy_1773,superbks_50,superbks_100,esc50_250,esc50_500
fullysupervised,5.71±0.31,5.71±0.31,15.93±0.31,15.93±0.31,35.02±1.38,2.13±0.13,2.13±0.13,25.0±1.08,26.67±2.46
supervised,52.73±2.86,32.04±0.51,42.65±1.63,27.6±1.19,34.74±1.58,5.52±0.87,4.99±0.32,49.83±1.71,38.75±1.47
pseudolabel,53.47±0.28,33.36±2.5,40.58±3.23,29.83±1.92,37.84±1.77,6.64±0.72,4.9±0.13,50.08±2.93,37.0±1.97
meanteacher,50.16±2.51,31.98±1.57,41.86±3.8,29.03±0.87,33.44±0.49,5.7±0.26,5.34±0.22,51.83±2.9,38.33±2.77
pimodel,77.6±4.57,33.98±3.02,52.77±1.65,27.32±0.39,37.42±0.57,62.82±7.63,27.05±3.86,48.75±1.06,35.67±3.79
vat,82.73±1.5,44.13±3.09,50.22±1.76,26.16±1.51,32.77±1.22,2.23±0.16,2.22±0.06,49.0±3.0,36.25±0.0
mixmatch,74.64±2.48,68.87±0.95,46.83±0.93,41.38±2.77,53.15±0.1,9.49±1.14,9.06±1.2,60.0±1.54,54.0±0.74
remixmatch,90.0±0.0,90.0±0.0,93.63±3.6,90.92±3.72,94.61±2.22,90.01±0.33,89.78±0.3,98.0±0.0,98.0±0.0
adamatch,32.53±2.19,21.22±0.52,31.02±4.39,20.67±1.9,29.04±0.26,2.47±0.1,2.29±0.13,38.83±2.38,29.83±1.65
uda,39.36±4.65,22.93±1.39,41.06±3.83,22.34±3.17,29.88±1.12,7.97±1.92,5.91±0.94,43.17±0.77,33.17±0.96
fixmatch,41.47±1.62,21.89±1.01,40.02±6.62,20.83±2.31,31.05±1.27,2.48±0.15,2.39±0.18,43.58±2.79,32.0±1.08
flexmatch,50.71±27.88,44.11±32.46,39.23±0.96,23.7±1.66,27.35±1.84,2.36±0.13,2.56±0.21,39.33±1.36,32.5±1.78
dash,52.38±8.32,25.31±0.33,41.3±5.8,23.78±2.49,33.26±1.6,8.65±4.32,2.61±0.06,44.75±2.68,35.0±1.14
crmatch,41.22±3.56,22.16±0.46,38.99±5.15,22.26±3.72,32.59±0.83,2.57±0.11,2.44±0.07,41.92±2.42,33.75±1.59
comatch,40.49±0.69,22.31±1.06,29.63±1.15,20.19±2.34,28.12±1.09,11.67±0.81,9.05±2.17,40.67±1.59,28.83±1.18
simmatch,30.69±1.63,21.16±0.06,30.63±6.1,19.95±2.11,25.87±0.93,2.67±0.12,2.6±0.07,38.25±1.41,30.5±0.54
freematch,33.31±1.06,21.42±0.44,41.58±4.06,27.36±0.78,27.24±0.38,2.45±0.08,2.58±0.38,37.83±2.58,32.0±0.94
softmatch,32.71±2.18,21.24±1.02,35.32±6.59,21.43±2.37,28.26±0.3,2.35±0.05,2.36±0.02,40.42±0.42,32.42±0.31